project_name,url,,
Suchirindia Odyssey,/in/buy/projects/page/7216-suchirindia-odyssey-by-suchirindia-constructions-pvt-ltd-in-yamnampet,"'https://housing.com/in/buy/projects/page/7216-suchirindia-odyssey-by-suchirindia-constructions-pvt-ltd-in-yamnampet',",https://housing.com
Legacy Legend Golden Gate,/in/buy/projects/page/199188-legacy-legend-golden-gate-by-legacy-avenues-private-limited-in-shadnagar,"'https://housing.com/in/buy/projects/page/199188-legacy-legend-golden-gate-by-legacy-avenues-private-limited-in-shadnagar',",https://housing.com
Giridhari Prospera County,/in/buy/projects/page/53162-giridhari-prospera-county-by-giridhari-constructions-in-kismatpur,"'https://housing.com/in/buy/projects/page/53162-giridhari-prospera-county-by-giridhari-constructions-in-kismatpur',",https://housing.com
Fortune Green Sapphire,/in/buy/projects/page/261683-fortune-green-sapphire-by-fortune-green-homes-in-tellapur,"'https://housing.com/in/buy/projects/page/261683-fortune-green-sapphire-by-fortune-green-homes-in-tellapur',",https://housing.com
RKs Oxygen Homes,/in/buy/projects/page/267413-rks-oxygen-homes-by-idream-sai-rk-infra-in-pragathi-nagar,"'https://housing.com/in/buy/projects/page/267413-rks-oxygen-homes-by-idream-sai-rk-infra-in-pragathi-nagar',",https://housing.com
SRR Gachibowli Paradise County Phase 4,/in/buy/projects/page/272058-srr-gachibowli-paradise-county-phase-4-by-srr-fortune-infra-in-patancheru,"'https://housing.com/in/buy/projects/page/272058-srr-gachibowli-paradise-county-phase-4-by-srr-fortune-infra-in-patancheru',",https://housing.com
My Home Tarkshya,/in/buy/projects/page/231683-my-home-tarkshya-by-my-home-constructions-pvt-ltd-in-kokapet,"'https://housing.com/in/buy/projects/page/231683-my-home-tarkshya-by-my-home-constructions-pvt-ltd-in-kokapet',",https://housing.com
Sri Balaji Homes,/in/buy/projects/page/285367-sri-balaji-homes-by-sri-balaji-homes-builders-and-developers-in-kompally,"'https://housing.com/in/buy/projects/page/285367-sri-balaji-homes-by-sri-balaji-homes-builders-and-developers-in-kompally',",https://housing.com
YBR Avasa Hills,/in/buy/projects/page/227073-ybr-avasa-hills-by-ybinfra-in-adibatla,"'https://housing.com/in/buy/projects/page/227073-ybr-avasa-hills-by-ybinfra-in-adibatla',",https://housing.com
Suchirindia Odyssey,/in/buy/projects/page/7216-suchirindia-odyssey-by-suchirindia-constructions-pvt-ltd-in-yamnampet,"'https://housing.com/in/buy/projects/page/7216-suchirindia-odyssey-by-suchirindia-constructions-pvt-ltd-in-yamnampet',",https://housing.com
Legacy Legend Golden Gate,/in/buy/projects/page/199188-legacy-legend-golden-gate-by-legacy-avenues-private-limited-in-shadnagar,"'https://housing.com/in/buy/projects/page/199188-legacy-legend-golden-gate-by-legacy-avenues-private-limited-in-shadnagar',",https://housing.com
Giridhari Prospera County,/in/buy/projects/page/53162-giridhari-prospera-county-by-giridhari-constructions-in-kismatpur,"'https://housing.com/in/buy/projects/page/53162-giridhari-prospera-county-by-giridhari-constructions-in-kismatpur',",https://housing.com
Green Lorven County,/in/buy/projects/page/282205-green-lorven-county-by-green-ville-projects-private-limited-in-sadasivpet,"'https://housing.com/in/buy/projects/page/282205-green-lorven-county-by-green-ville-projects-private-limited-in-sadasivpet',",https://housing.com
Janapriya Nile Valley,/in/buy/projects/page/236-janapriya-nile-valley-by-janapriya-engineers-syndicate-in-miyapur,"'https://housing.com/in/buy/projects/page/236-janapriya-nile-valley-by-janapriya-engineers-syndicate-in-miyapur',",https://housing.com
Akshita Golden Breeze 4,/in/buy/projects/page/280164-akshita-golden-breeze-4-by-akshita-infra-in-maheshwaram,"'https://housing.com/in/buy/projects/page/280164-akshita-golden-breeze-4-by-akshita-infra-in-maheshwaram',",https://housing.com
Sukrithi Sannidhi Ankura,/in/buy/projects/page/277377-sukrithi-sannidhi-ankura-by-sukrithi-developers-and-ventures-pvt-ltd-in-tukkuguda,"'https://housing.com/in/buy/projects/page/277377-sukrithi-sannidhi-ankura-by-sukrithi-developers-and-ventures-pvt-ltd-in-tukkuguda',",https://housing.com
Aliens Hub,/in/buy/projects/page/99719-aliens-hub-by-aliens-hub-in-kadthal,"'https://housing.com/in/buy/projects/page/99719-aliens-hub-by-aliens-hub-in-kadthal',",https://housing.com
Valandis Home,/in/buy/projects/page/316039-valandis-home-by-sk-developers-in-zaheerabad,"'https://housing.com/in/buy/projects/page/316039-valandis-home-by-sk-developers-in-zaheerabad',",https://housing.com
Trishala The Village,/in/buy/projects/page/44466-trishala-the-village-by-trishala-infrastructure-in-sathamrai-village,"'https://housing.com/in/buy/projects/page/44466-trishala-the-village-by-trishala-infrastructure-in-sathamrai-village',",https://housing.com
Rudraram County,/in/buy/projects/page/319447-rudraram-county-by-suryachandra-developers-in-rudraram,"'https://housing.com/in/buy/projects/page/319447-rudraram-county-by-suryachandra-developers-in-rudraram',",https://housing.com
Swayam Prime Enclave,/in/buy/projects/page/302448-swayam-prime-enclave-by-swayam-krushi-infra-projects-in-ghatkesar,"'https://housing.com/in/buy/projects/page/302448-swayam-prime-enclave-by-swayam-krushi-infra-projects-in-ghatkesar',",https://housing.com
Vinayaka Vision County,/in/buy/projects/page/272827-vinayaka-vision-county-by-vinayaka-developer-hyderabad-in-sadasivpet,"'https://housing.com/in/buy/projects/page/272827-vinayaka-vision-county-by-vinayaka-developer-hyderabad-in-sadasivpet',",https://housing.com
Hastina Nature City,/in/buy/projects/page/268250-hastina-nature-city-by-hastina-realty-pvt-ltd-in-shadnagar,"'https://housing.com/in/buy/projects/page/268250-hastina-nature-city-by-hastina-realty-pvt-ltd-in-shadnagar',",https://housing.com
Sahuri County 3,/in/buy/projects/page/320959-sahuri-county-3-by-sahuri-infra-projects-in-alair,"'https://housing.com/in/buy/projects/page/320959-sahuri-county-3-by-sahuri-infra-projects-in-alair',",https://housing.com
Akshita E City Enclave,/in/buy/projects/page/301550-akshita-e-city-enclave-by-akshita-infra-in-maheshwaram,"'https://housing.com/in/buy/projects/page/301550-akshita-e-city-enclave-by-akshita-infra-in-maheshwaram',",https://housing.com
GBR Cyber Town Ship,/in/buy/projects/page/313564-gbr-cyber-town-ship-by-gbr-groups-infra-developers-in-ibrahimpatnam,"'https://housing.com/in/buy/projects/page/313564-gbr-cyber-town-ship-by-gbr-groups-infra-developers-in-ibrahimpatnam',",https://housing.com
Pavani Royale,/in/buy/projects/page/317559-pavani-royale-by-pavani-group-in-kothur,"'https://housing.com/in/buy/projects/page/317559-pavani-royale-by-pavani-group-in-kothur',",https://housing.com
Apex Lake Side,/in/buy/projects/page/308311-apex-lake-side-by-apex-ecosystems-llp-in-dullapally,"'https://housing.com/in/buy/projects/page/308311-apex-lake-side-by-apex-ecosystems-llp-in-dullapally',",https://housing.com
PAMENA GREENS,/in/buy/projects/page/254253-pamena-greens-by-neemsboro-farms-private-limited-in-chevella,"'https://housing.com/in/buy/projects/page/254253-pamena-greens-by-neemsboro-farms-private-limited-in-chevella',",https://housing.com
Zonah Azam Farm Elegant County,/in/buy/projects/page/316493-zonah-azam-farm-elegant-county-by-zonah-developers-p-ltd-in-kethireddypally,"'https://housing.com/in/buy/projects/page/316493-zonah-azam-farm-elegant-county-by-zonah-developers-p-ltd-in-kethireddypally',",https://housing.com
